source,ourDatabase,databaseLabel
govtslaves.com,TRUE,Fake
grainoftruth.ca,TRUE,Fake
greatamericandaily.com,TRUE,Fake
greatamericanrepublic.com,TRUE,Fake
greenmedinfo.com,TRUE,Fake
greenvillegazette.com,TRUE,Fake
hannity.com,TRUE,Fake
healingfoodreference.com,TRUE,Fake
healingoracle.ch,TRUE,Fake
health.news,TRUE,Fake
healthnutnews.com,TRUE,Fake
healthranger.com,TRUE,Fake
healthrangerreport.com,TRUE,Fake
healthy-holistic-living.com,TRUE,Fake
healthyfoodhouse.com,TRUE,Fake
heartland.org,TRUE,Fake
herbreference.com,TRUE,Fake
hsionline.com,TRUE,Fake
iceagenow.info,TRUE,Fake
icr.org,TRUE,Fake
ihatethemedia.com,TRUE,Fake
ihealthtube.com,TRUE,Fake
ihr.org,TRUE,Fake
illicitinfo.com,TRUE,Fake
illuminati-news.com,TRUE,Fake
illuminatiwatcher.com,TRUE,Fake
infiniteunknown.net,TRUE,Fake
